用户ID,年龄,性别,所在城市,职业,教育程度,婚姻状况,月工资收入,经营性收入,被动收入,月总流入,月总流出,储蓄率,活期存款,理财产品,股票基金,房产估值,总资产,净资产,信用卡欠款,房贷余额,其他贷款,总负债,负债率,养老金账户余额,缴纳年限,住房公积金余额,商业保险年缴,保险保额,风险偏好,计划退休年龄,目标养老金,期望收益率下限,期望收益率上限,期望退休后的月开销,健康状况,平台月访问次数,策略采纳率,交互问答次数,个性化设置次数,反馈积极度,信任评分,住房固定支出消费,家庭公共事业消费,家居家装消费,日用杂货消费,家庭服务消费,餐饮食品消费,日常通勤消费,私家车消费消费,长途差旅消费,服饰鞋履消费,美妆护肤消费,文娱消费,运动健身消费,兴趣爱好消费,教育培训消费,书籍文具消费,求医问药消费,保健养生消费,电子设备与通信消费,礼品礼金消费,公益慈善消费,意外杂项消费,保险消费,投资理财消费,贷款利息消费
U000269,30,女,长沙,市场营销,博士,离异,11056.02,19502.52,1789.83,32348.370000000003,26662.86,0.18,430395.52,2277122.95,33854.25,209502.08,2950874.8000000003,2088249.12,102446.56,755804.14,4374.98,862625.6799999999,0.29,119830.73,2,43448.45,27718.28,121586.78,稳健,61,3833218.39,0.03,0.101,6336,良,27,0.51,4,5,0.61,63.1,5101.56,45.02,1194.98,656.73,3340.6,317.14,853.01,739.56,1363.04,79.11,241.94,271.26,1505.02,235.48,957.07,272.23,2221.37,3201.58,820.84,487.83,299.49,57.35,351.16,1192.79,856.69
U000270,21,女,青岛,学生,高中,离异,13.29,4643.14,1025.59,5682.02,4840.56,0.15,367495.37,530610.97,426237.54,148181.84,1472525.72,1379215.8,24703.35,23820.68,44785.89,93309.92,0.06,0.0,0,0.0,3896.07,1767204.94,稳健,59,1716956.85,0.05,0.099,14830,差,7,0.89,13,3,0.3,52.59,89.67,210.34,119.41,127.69,55.38,107.84,113.07,217.91,501.82,70.98,7.66,121.85,139.71,32.78,253.93,745.41,517.9,39.01,370.01,216.62,107.48,138.22,336.63,116.24,83.01
U000271,50,女,杭州,公务员,硕士,已婚,26109.08,19705.23,6259.55,52073.86,31515.31,0.39,284386.52,2556668.37,139844.9,767961.64,3748861.43,2586942.88,2345.77,985976.39,173596.39,1161918.55,0.31,187803.38,18,15966.41,26101.94,763961.96,积极,63,4415116.05,0.042,0.093,7761,一般,14,0.28,8,6,0.71,82.5,3083.06,1495.62,1337.84,139.77,1236.02,171.94,109.32,999.34,687.48,1185.24,124.64,751.98,256.22,5802.19,1098.41,1550.99,525.02,132.74,4967.05,449.76,735.27,1399.6,33.35,2216.69,1025.75
U000272,25,男,上海,教师,大专,已婚,12308.02,2479.81,918.78,15706.61,15829.11,-0.01,96860.8,1281730.47,471677.53,90203.32,1940472.12,1673185.05,28204.42,62032.04,177050.61,267287.06999999995,0.14,163499.84,1,0.0,1981.34,490507.67,保守,67,951052.09,0.036,0.104,8534,一般,25,0.11,6,12,0.57,37.15,51.56,143.8,1827.88,939.39,233.18,55.02,951.33,688.93,420.36,366.49,198.17,898.07,2861.75,156.7,737.2,447.6,479.92,237.78,1414.01,538.51,635.72,294.76,162.72,72.84,1015.4
U000273,18,男,重庆,自由职业,硕士,已婚,13437.0,46.98,1583.32,15067.3,13126.41,0.13,392762.57,1620168.41,42482.6,69615.05,2125028.63,1718125.82,65331.77,178478.06,163092.98,406902.81,0.19,0.0,0,0.0,1419.24,1384082.4,平衡,58,595435.57,0.012,0.093,9389,一般,3,0.51,26,4,0.3,44.58,504.55,594.54,430.33,99.55,347.84,1023.11,1028.85,316.54,578.63,201.82,221.73,21.89,2131.51,222.13,242.36,307.87,127.94,957.16,73.33,135.28,971.57,389.59,1155.44,765.22,277.63
U000274,32,女,天津,科研人员,本科,未婚,11464.23,17684.48,8227.85,37376.56,24526.66,0.34,105126.62,286352.7,50868.13,2867547.21,3309894.66,2321946.22,40733.1,923545.15,23670.19,987948.44,0.3,184663.92,1,134337.97,17893.39,356135.55,保守,65,3198251.68,0.044,0.069,11297,良,21,0.65,39,9,0.54,36.75,111.12,691.11,516.69,280.31,832.78,1843.41,6128.18,841.36,466.31,229.39,267.17,586.93,411.49,2203.66,412.94,420.3,434.89,1628.68,945.81,856.16,365.6,1531.18,35.17,1839.67,646.36
U000275,48,女,福州,公务员,博士,已婚,17389.34,2955.6,4466.95,24811.89,24772.82,0.0,761544.61,2769809.19,56582.02,1282359.48,4870295.3,4482583.56,106099.33,217001.73,64610.68,387711.74,0.08,25507.15,24,57752.61,10984.46,847664.14,积极,68,3207844.02,0.042,0.068,11429,优,30,0.62,7,12,0.59,62.31,14.25,2276.94,656.74,466.01,165.08,642.25,760.91,573.52,1259.56,606.09,3611.36,1014.62,1827.94,128.49,561.76,455.73,935.05,2190.25,90.51,83.59,2107.2,265.54,1225.87,868.52,1985.03
U000276,42,男,深圳,市场营销,大专,丧偶,8833.17,11557.53,6934.99,27325.690000000002,26619.1,0.03,506227.19,729098.51,1433.05,2981715.94,4218474.6899999995,3187091.12,2298.72,837561.7,191523.15,1031383.57,0.24,184180.82,1,136704.29,11763.99,1698658.24,保守,59,1826137.8,0.017,0.111,7100,差,29,0.83,7,6,0.88,33.63,137.1,802.6,2885.62,528.78,390.49,920.34,2629.08,1788.65,5325.87,22.51,118.11,927.33,1694.41,331.2,269.64,1525.11,57.24,454.72,695.15,810.49,1286.3,432.25,935.49,868.29,782.33
U000277,27,男,大连,科研人员,大专,已婚,9437.36,11632.14,953.65,22023.15,19753.95,0.1,90158.72,345183.68,70638.75,122522.9,628504.05,377693.8,1297.68,166213.6,83298.97,250810.25,0.4,153083.54,3,111533.69,21021.81,1397127.85,保守,64,2615830.25,0.046,0.087,6597,差,20,0.66,18,3,0.41,87.28,102.04,204.35,557.2,1474.55,970.76,1250.18,347.3,416.66,401.99,171.16,50.75,718.12,3639.26,146.64,38.41,1214.76,233.9,1421.93,977.9,2340.14,422.45,871.4,502.31,800.07,479.72
U000278,53,女,重庆,市场营销,大专,离异,20914.21,14228.14,2580.54,37722.89,33423.71,0.11,254008.19,829699.22,465725.12,815482.82,2364915.3499999996,1594018.22,14342.1,566340.42,190214.61,770897.13,0.33,148626.95,25,92856.56,7858.74,367387.55,保守,69,4891943.27,0.04,0.065,7757,优,14,0.48,20,12,0.88,40.71,962.37,1020.66,2258.32,1805.11,1479.42,163.34,1730.7,941.59,3047.33,3425.81,77.0,2332.23,52.15,621.01,1060.73,217.55,1861.66,11.39,250.6,1179.98,1700.77,3372.21,1659.17,1512.05,680.57
U000279,23,男,青岛,学生,硕士,未婚,423.31,2707.84,130.64,3261.79,2930.9,0.1,400956.36,664608.24,275845.69,319194.48,1660604.77,1408331.33,3107.21,53833.6,195332.63,252273.44,0.15,112959.36,1,0.0,8462.21,1887018.28,激进,55,4912437.32,0.048,0.118,9586,良,16,0.26,25,11,0.98,75.67,140.23,78.87,8.24,22.79,195.89,137.97,240.68,13.37,494.68,25.12,1.27,637.22,35.28,117.87,20.78,92.79,250.54,41.25,118.59,22.25,104.79,43.84,25.36,40.16,21.06
U000280,24,女,西安,金融分析师,大专,未婚,13978.74,2931.79,1704.05,18614.579999999998,13868.97,0.25,81830.42,1018833.69,442601.94,46645.43,1589911.4799999997,1181126.51,70409.35,176880.41,161495.21,408784.97,0.26,130844.03,2,0.0,26211.75,1032601.59,稳健,65,2513660.93,0.017,0.077,13953,差,19,0.78,27,1,0.92,80.32,248.17,137.97,291.7,189.48,668.88,1739.62,282.57,967.62,409.11,83.87,575.22,353.21,515.58,1080.84,284.67,1134.77,681.02,328.8,453.22,193.13,2015.29,539.66,21.98,193.89,478.7
U000281,18,女,重庆,学生,博士,已婚,1305.69,2735.68,1937.89,5979.26,5923.79,0.01,41840.49,178816.59,156859.35,467027.99,844544.4199999999,701968.68,13886.63,56023.46,72665.65,142575.74,0.17,0.0,0,0.0,11702.83,1972286.62,积极,63,3934158.66,0.032,0.115,9736,一般,30,0.2,36,15,0.33,85.84,95.58,56.45,366.44,226.66,70.04,120.76,281.01,23.51,50.03,23.86,524.69,437.81,438.95,395.14,347.12,203.28,322.4,12.27,304.67,471.85,217.61,138.75,101.91,322.86,370.15
U000282,45,女,深圳,公务员,高中,已婚,15238.65,7473.66,6822.01,29534.32,25191.92,0.15,197120.57,2845493.48,341277.79,1861841.17,5245733.01,3995064.46,90141.35,1111563.84,48963.36,1250668.5500000003,0.24,164247.01,0,23184.34,3527.48,751643.38,保守,67,4342231.36,0.021,0.112,13477,差,21,0.17,14,14,0.75,88.51,404.62,1418.08,795.67,2070.31,724.52,703.93,832.74,1335.89,3228.4,73.78,53.02,2677.84,728.75,921.38,635.91,94.95,1411.05,1327.87,360.67,353.03,1756.5,72.52,2056.15,286.38,867.93
U000283,49,女,南京,企业管理,大专,未婚,18354.91,6574.41,3172.85,28102.17,30862.34,-0.1,384173.06,2422903.39,238109.73,835125.19,3880311.37,3547040.39,5665.79,233611.68,93993.51,333270.98,0.09,128043.28,10,85230.99,34277.03,1548411.05,稳健,56,4714068.5,0.028,0.086,9564,优,15,0.27,6,0,0.97,74.44,1164.12,419.56,323.16,5681.61,1382.85,1029.92,436.87,50.17,31.4,804.0,1428.79,767.18,1828.76,33.84,454.72,269.3,590.07,74.77,3067.31,251.44,2542.84,552.3,4215.12,803.72,2658.52
U000284,27,男,青岛,自由职业,本科,未婚,14758.27,17475.52,902.84,33136.63,26836.06,0.19,122039.79,2098722.47,92039.14,26871.14,2339672.5400000005,1968217.04,93075.49,85706.86,192673.15,371455.5,0.16,59381.0,1,52391.44,11776.74,950998.84,稳健,60,4845154.25,0.032,0.115,5147,差,18,0.41,0,6,0.35,73.42,1728.28,2924.04,188.58,126.64,692.48,3399.79,979.53,939.31,190.63,0.99,2081.88,114.84,1258.94,3083.22,293.23,1371.37,102.71,1159.96,224.35,1668.58,449.13,780.0,1146.36,235.4,1695.85
U000285,63,女,厦门,自由职业,博士,未婚,23722.86,2272.14,9699.76,35694.76,28669.79,0.2,484243.28,15259.1,225279.48,2497532.48,3222314.34,2332303.63,22126.23,673992.98,193891.5,890010.71,0.28,19489.21,13,111856.13,7299.86,1392892.18,积极,68,3204245.12,0.021,0.073,7458,差,6,0.88,18,0,0.56,53.65,1807.68,212.84,859.53,440.57,2140.76,471.43,3311.92,3450.44,339.32,1476.27,142.44,770.81,1938.42,1671.13,1520.5,515.15,736.73,168.55,1969.58,1087.52,1913.95,444.15,608.51,631.13,40.46
U000286,31,男,苏州,公务员,博士,未婚,10404.22,16563.72,4258.49,31226.43,33944.22,-0.09,204854.23,2362189.59,229411.78,1119364.46,3915820.0599999996,3522750.72,61908.4,243985.71,87175.23,393069.33999999997,0.1,57005.59,6,95116.09,20571.31,1875803.07,平衡,58,4979134.5,0.05,0.066,9023,差,20,0.11,26,3,0.65,78.86,2452.82,3433.03,1101.54,916.95,47.23,3188.26,19.75,4368.18,1013.36,631.2,3891.55,37.25,1313.67,1200.9,373.47,844.96,1593.35,1959.07,1.08,4166.67,271.14,401.28,461.29,58.16,198.07
U000287,33,女,郑州,市场营销,博士,离异,16773.78,7621.6,1955.6,26350.979999999996,21997.46,0.17,78397.55,2564182.67,457014.66,1238804.23,4338399.109999999,3039247.57,95168.49,1055752.44,148230.61,1299151.54,0.3,1521.03,5,117329.41,15176.07,535218.28,平衡,63,1883285.09,0.055,0.115,8360,良,21,0.29,26,1,0.31,39.97,22.24,265.73,61.24,114.89,594.53,275.03,763.79,307.76,2971.14,2488.43,880.65,460.67,505.18,558.75,1368.93,632.48,2045.41,3036.08,430.97,865.91,105.15,235.52,561.64,243.1,2202.24
U000288,62,男,北京,退休人员,硕士,未婚,1460.24,3853.21,6444.34,11757.79,11925.63,-0.01,737225.11,2369199.82,64435.23,1908820.47,5079680.63,4468210.57,170059.88,260575.91,180834.27,611470.06,0.12,103455.42,27,34645.43,27406.96,252660.57,激进,67,3341484.81,0.049,0.111,7458,良,20,0.83,17,5,0.96,43.24,392.4,600.46,759.55,311.63,1311.91,542.02,373.54,44.91,403.2,1109.04,615.09,1151.54,439.54,81.35,8.86,233.1,772.5,1007.74,226.23,441.64,352.71,341.0,169.77,94.6,141.31
U000289,19,男,广州,学生,高中,丧偶,37.93,3670.85,1966.83,5675.61,5205.85,0.08,381018.98,363782.58,326261.36,110877.61,1181940.53,851529.71,17056.94,168091.36,145262.52,330410.81999999995,0.28,0.0,0,0.0,16942.92,549929.65,平衡,59,3323471.04,0.042,0.095,9149,良,3,0.19,38,3,0.37,48.36,2.08,447.01,7.95,688.84,544.51,187.55,191.84,259.42,119.72,254.83,11.2,13.59,149.46,195.09,535.05,27.04,423.03,57.67,122.54,93.11,125.0,39.89,171.28,395.65,142.48
U000290,33,男,福州,程序员,高中,已婚,11308.57,8274.9,4865.17,24448.64,22317.73,0.09,132486.46,1112753.86,444856.76,1900655.39,3590752.4699999997,3237044.09,52301.91,241655.47,59751.0,353708.38,0.1,180727.63,10,85094.08,18138.98,62900.95,稳健,65,4971828.1,0.034,0.097,10111,一般,17,0.1,33,8,0.95,42.53,1851.01,1199.79,660.7,292.01,2118.78,843.16,244.92,307.21,1592.6,44.24,4742.73,136.86,1558.05,492.07,664.09,2083.02,521.89,755.61,49.54,2.3,275.14,1118.34,126.68,118.34,518.64
U000291,21,女,青岛,学生,博士,未婚,207.85,417.21,1383.2,2008.26,1332.06,0.34,139569.91,408436.94,45984.92,354041.79,948033.56,632845.4,59977.06,93408.75,161802.35,315188.16000000003,0.33,0.0,0,0.0,6577.45,395752.89,激进,63,4828420.85,0.015,0.108,7659,差,18,0.35,13,15,0.6,59.0,4.74,161.23,17.27,109.75,113.85,84.66,10.57,98.62,83.84,51.92,23.51,17.41,7.43,40.76,50.32,25.46,36.88,25.83,58.57,132.37,10.24,27.46,8.68,56.07,74.62
U000292,35,男,青岛,公务员,大专,丧偶,17786.8,7479.21,6326.98,31592.989999999998,19970.98,0.37,108711.88,92840.03,255678.41,1760607.73,2217838.05,813572.0,35216.83,1240029.63,129019.59,1404266.05,0.63,193029.05,5,59746.0,3496.82,1618080.93,激进,68,4059033.68,0.028,0.064,14537,一般,21,0.4,9,10,0.39,50.71,256.79,2356.29,51.33,725.63,46.21,1761.1,592.7,869.24,1399.07,127.94,30.91,1658.05,297.08,108.46,496.38,716.37,24.71,252.47,26.19,428.3,1770.97,3184.4,796.03,138.48,1855.88
U000293,54,男,厦门,教师,高中,未婚,15172.4,7711.82,6018.02,28902.24,24960.88,0.14,86452.96,1028779.33,303952.19,2650080.37,4069264.85,3642629.56,135866.2,112236.29,178532.8,426635.29,0.1,84350.03,27,47667.49,11588.4,394246.5,积极,66,2743929.36,0.06,0.085,14320,一般,3,0.46,19,10,0.71,45.37,1628.14,1512.11,1419.45,256.95,272.38,1339.74,285.15,663.67,1750.7,1761.03,693.93,1805.71,2096.34,1222.36,298.04,368.03,434.56,142.75,366.68,270.22,698.29,2747.68,126.83,1464.13,1336.02
U000294,24,男,杭州,程序员,高中,离异,12970.23,4479.15,1836.07,19285.449999999997,11948.5,0.38,348178.86,152799.05,47559.91,401256.64,949794.46,673242.43,70878.86,54934.71,150738.46,276552.03,0.29,80068.87,2,0.0,13431.87,94145.54,积极,64,3634056.22,0.033,0.111,6745,良,30,0.83,23,3,0.32,33.11,1222.49,401.58,216.04,675.08,142.18,565.07,19.36,873.9,284.08,483.81,119.48,540.11,706.94,306.27,459.49,291.19,1072.82,329.18,881.1,772.28,252.53,124.94,248.96,836.18,123.42
U000295,29,男,合肥,个体商户,硕士,丧偶,17976.12,18045.53,737.76,36759.409999999996,38650.32,-0.05,583843.37,2288570.37,434007.44,129843.85,3436265.0300000003,2995856.7,84773.96,166205.4,189428.97,440408.32999999996,0.13,15008.44,5,103188.24,22719.72,759112.93,平衡,60,4661862.83,0.039,0.067,9117,一般,10,0.79,37,13,0.75,73.44,1534.37,420.8,172.76,2361.32,155.58,472.65,2883.86,635.01,5394.58,5820.39,466.3,62.46,1822.77,895.16,158.54,1835.27,47.28,3048.02,222.82,203.29,288.4,4815.29,1763.75,2412.93,756.72
U000296,53,男,杭州,律师,大专,离异,18933.39,1835.99,7662.02,28431.4,27171.62,0.04,292998.05,3049728.65,121188.13,1941402.82,5405317.649999999,4214326.47,133514.7,1042447.6,15028.88,1190991.18,0.22,98921.15,13,1969.22,7759.26,1637022.89,积极,61,2694405.09,0.027,0.109,8988,差,16,0.51,10,9,0.8,72.59,342.35,839.43,1028.29,1280.02,380.81,3804.18,238.36,4319.33,19.18,840.61,519.56,763.93,1083.3,732.83,686.59,1690.54,1483.62,2295.18,368.52,1204.87,1127.41,591.44,852.84,482.46,195.99
U000297,54,男,苏州,律师,本科,离异,18023.18,15600.42,1879.53,35503.13,26233.95,0.26,137924.91,1136443.09,434915.69,1945148.89,3654432.58,2167861.25,23271.78,1314294.35,149005.2,1486571.33,0.41,48112.49,29,28054.46,1034.82,1323771.01,保守,66,2083805.71,0.016,0.093,11555,优,11,0.45,4,12,0.65,63.02,869.26,2418.87,1051.96,42.98,1734.0,1596.59,471.05,708.92,3001.92,611.11,1895.63,69.71,170.5,467.35,706.77,1362.3,3574.45,395.98,39.06,1298.97,745.7,177.98,549.13,1090.44,1183.3
U000298,42,男,天津,律师,本科,离异,15836.42,5880.12,4026.92,25743.46,23092.52,0.1,381285.18,1530210.3,216782.67,2043481.57,4171759.7199999997,2602775.98,86610.21,1438457.58,43915.95,1568983.74,0.38,10627.55,1,86284.58,7783.81,1064263.45,保守,63,1519092.57,0.041,0.103,10175,优,12,0.41,7,8,0.65,41.12,348.49,3483.25,1041.92,502.08,314.99,1256.93,265.39,180.29,722.21,327.74,948.66,120.1,1018.27,318.77,0.23,129.91,2595.63,1933.19,254.62,1441.94,897.61,3385.04,447.65,1094.8,62.82
U000299,35,女,西安,金融分析师,博士,已婚,16318.46,14781.82,8525.64,39625.92,37405.6,0.06,110651.17,1873966.83,83322.73,996465.95,3064406.6799999997,1433209.9,54625.96,1443364.54,133206.28,1631196.78,0.53,85584.51,0,26627.26,8046.88,153954.14,稳健,55,3173023.2,0.058,0.095,10459,优,15,0.8,30,3,0.33,31.13,498.7,188.23,1785.89,1520.65,687.9,4428.35,32.98,531.75,3729.81,568.52,426.99,1122.3,2550.22,159.91,4208.49,2328.35,293.75,1828.52,713.98,755.98,2246.23,4834.2,198.93,801.75,963.21
U000300,23,女,天津,学生,大专,未婚,1102.22,4948.97,514.68,6565.870000000001,5536.65,0.16,193073.35,29156.27,176313.19,355078.58,753621.39,341753.15,85571.75,154905.26,171391.23,411868.24,0.55,180433.37,1,0.0,18447.59,1456431.09,稳健,55,1165551.74,0.031,0.073,9286,差,4,0.39,1,7,0.7,75.23,123.08,14.64,315.54,156.3,59.09,461.76,442.48,181.73,96.68,277.21,92.7,73.42,357.63,11.23,27.16,1.86,45.27,19.5,1492.79,92.96,44.09,75.21,750.27,200.28,123.78
U000301,40,女,杭州,科研人员,博士,离异,15181.47,13576.03,8992.21,37749.71,31129.72,0.18,670814.29,1580720.64,132654.67,2037199.09,4421388.6899999995,3635951.15,115439.34,586539.34,83458.86,785437.5399999999,0.18,198788.74,9,28585.9,18544.54,1403671.27,激进,58,2450568.3,0.033,0.118,8978,良,25,0.38,3,0,0.65,74.56,501.45,1024.29,822.04,2441.62,738.07,1858.35,147.15,458.33,1129.54,5966.33,1022.4,2354.88,635.72,293.28,130.21,786.72,370.38,412.69,3087.6,34.46,1761.56,1030.07,1524.78,1786.2,811.59
U000302,30,女,西安,教师,硕士,丧偶,16910.53,15995.7,31.18,32937.409999999996,20436.89,0.38,169810.38,1482679.05,26596.64,152910.75,1831996.82,794153.0,47335.51,990379.97,128.34,1037843.82,0.57,50286.69,5,131808.31,22772.64,1003986.47,积极,59,4791583.65,0.046,0.069,8669,优,23,0.26,37,2,0.5,32.09,1318.16,2044.11,213.29,102.42,2274.13,429.37,799.1,444.27,134.06,887.37,742.57,226.23,599.49,1589.64,890.03,101.64,791.8,1209.6,1569.02,988.98,165.17,1234.86,1127.86,24.66,529.05
U000303,50,女,苏州,制造业工人,高中,未婚,21681.82,6214.72,5639.08,33535.62,31505.43,0.06,257983.92,2023585.96,341660.59,598519.99,3221750.46,2309758.75,20353.61,831425.65,60212.45,911991.71,0.28,17119.59,18,139067.8,16140.4,366744.35,积极,68,932190.34,0.036,0.102,8009,优,16,0.85,11,14,0.55,60.33,963.35,2634.63,1723.04,2742.32,4139.13,11.56,1050.77,573.94,2118.16,312.71,4273.75,1025.26,1700.54,96.46,218.47,1531.15,23.96,1829.85,15.14,1153.76,489.67,1019.1,1283.6,451.94,123.15
U000304,55,男,武汉,自由职业,博士,已婚,15369.52,15732.64,5803.22,36905.38,29028.13,0.21,527756.28,3374671.55,438902.62,160608.08,4501938.53,4043801.75,135217.17,188903.76,134015.85,458136.78,0.1,92561.56,33,69033.11,1983.64,109385.51,激进,70,981720.12,0.04,0.109,6385,差,18,0.49,10,1,0.39,68.0,1000.01,827.15,1524.83,801.81,617.49,571.03,30.15,459.85,4196.33,2326.16,449.44,996.89,2113.9,654.78,20.38,87.1,803.32,3923.56,1329.12,82.74,236.14,1659.67,2071.56,1081.59,1163.12
U000305,20,女,杭州,学生,高中,已婚,466.34,4945.79,12.9,5425.03,4570.47,0.16,343887.35,229417.73,17.86,301895.33,875218.27,804093.71,10893.1,19372.73,40858.73,71124.56,0.08,0.0,0,0.0,24077.16,599847.52,稳健,70,4922133.2,0.051,0.111,11769,良,17,0.31,39,14,0.9,70.12,62.82,10.69,58.32,51.11,107.03,140.78,184.49,168.21,81.97,7.69,241.3,130.83,92.14,523.82,356.67,506.5,177.42,36.45,309.43,59.93,151.15,17.45,453.12,34.96,606.17
U000306,34,女,北京,律师,大专,离异,17260.9,9523.17,2900.36,29684.43,27718.36,0.07,613818.51,1331003.17,333849.83,1173567.66,3452239.17,3125533.1,82323.02,161003.76,83379.29,326706.07,0.09,84966.59,0,42513.33,3627.82,778858.8,激进,64,653375.94,0.043,0.099,13384,良,14,0.13,22,4,0.63,77.0,595.72,1300.72,921.29,1549.53,539.06,1469.38,591.94,2698.33,635.34,592.23,1466.11,1643.62,771.02,189.01,601.39,3284.46,1333.43,1589.52,31.83,601.57,991.95,1689.92,48.18,1824.72,758.07
U000307,34,女,合肥,企业管理,博士,丧偶,12974.52,10260.9,1744.97,24980.39,16879.28,0.32,419797.37,1520498.96,229740.87,2575991.7,4746028.9,3420374.06,16524.64,1177441.41,131688.79,1325654.8399999999,0.28,184695.39,1,137424.0,19483.05,753045.47,保守,70,3226288.09,0.019,0.103,8564,优,16,0.72,33,8,0.39,51.06,808.03,56.66,184.28,1788.27,151.88,283.76,644.82,777.21,1539.8,633.1,1665.49,1028.37,128.14,181.49,613.38,539.85,1452.81,928.04,524.46,199.91,274.66,914.78,587.91,772.38,199.8
U000308,20,女,杭州,学生,博士,已婚,997.89,2497.17,1358.64,4853.7,3697.69,0.24,115767.29,1543486.64,458634.13,397802.47,2515690.5300000003,2184417.96,9488.86,176151.08,145632.63,331272.57,0.13,0.0,0,0.0,1610.09,500967.7,稳健,56,4310608.34,0.014,0.106,11392,一般,19,0.61,1,5,0.52,75.42,244.21,38.06,86.28,473.34,51.71,115.33,12.06,118.83,11.98,408.25,160.44,197.99,155.36,113.67,76.25,249.36,400.95,88.19,342.1,111.69,98.62,77.32,29.96,0.48,35.27
U000309,40,女,天津,律师,博士,已婚,8864.71,4023.85,1620.9,14509.46,14609.85,-0.01,566070.55,576887.44,291053.97,1887346.99,3321358.95,2767122.19,86925.57,305309.42,162001.77,554236.76,0.17,178658.2,11,116157.85,18185.44,1728982.32,保守,65,1333869.6,0.046,0.115,9809,差,20,0.52,6,6,0.7,60.79,2548.81,278.6,388.83,92.59,31.75,964.92,546.31,923.95,104.9,548.03,189.01,167.24,7.49,90.23,239.06,80.3,2751.46,238.46,90.22,143.43,572.44,42.76,1281.62,2104.37,183.07
U000310,32,男,合肥,教师,硕士,离异,14977.95,11383.05,1271.92,27632.92,23726.27,0.14,62566.06,1296651.83,25739.5,1621614.07,3006571.46,1714030.61,2569.84,1231991.71,57979.3,1292540.85,0.43,165629.7,6,105491.0,2011.4,1742946.67,保守,64,836497.05,0.039,0.111,9821,优,29,0.59,19,12,0.73,65.49,20.23,924.96,482.81,284.45,209.39,959.08,486.35,178.95,1055.7,752.32,1768.07,112.92,1391.76,1011.48,110.4,1072.46,526.43,2620.6,137.98,930.31,434.85,2839.37,361.84,2959.39,2094.17
U000311,30,女,宁波,律师,本科,已婚,16499.47,6690.82,1529.47,24719.760000000002,16553.45,0.33,328252.41,1834681.67,462087.13,331668.06,2956689.27,2492071.37,96609.72,353425.8,14582.38,464617.9,0.16,189599.52,0,51876.84,2052.13,832480.35,保守,57,4493833.85,0.034,0.068,17811,优,23,0.13,2,15,0.66,72.27,223.76,441.06,564.19,268.49,11.82,191.02,254.46,450.42,144.18,1586.96,937.68,68.42,806.77,814.64,2403.68,2.32,218.91,2019.22,2066.87,979.62,1115.11,73.71,554.16,202.39,153.61
U000312,21,男,上海,学生,高中,未婚,1290.44,3409.71,1475.85,6176.0,5411.71,0.12,26591.61,1569647.11,347720.27,214859.32,2158818.31,2004404.96,39268.69,27554.09,87590.57,154413.35,0.07,0.0,0,0.0,9024.2,1836137.18,稳健,62,1544150.41,0.039,0.074,12735,差,23,0.7,34,1,0.99,30.97,27.52,119.96,529.29,39.0,724.02,979.89,153.87,35.38,72.08,104.82,70.21,62.49,679.89,31.58,250.75,0.08,172.03,469.77,64.42,38.93,200.08,236.55,220.99,72.97,55.13
U000313,26,男,天津,公务员,硕士,丧偶,16773.27,6993.35,1310.42,25077.04,18108.69,0.28,163751.12,1394084.84,239350.68,61188.18,1858374.8199999998,1691771.82,7833.99,50039.77,108729.24,166603.0,0.09,98985.85,2,134646.03,23873.53,887083.68,平衡,64,4736421.44,0.049,0.078,9837,优,20,0.3,17,10,0.79,62.72,429.38,132.55,432.11,599.33,17.69,456.49,1181.9,885.92,783.85,1868.13,14.15,633.04,1203.51,605.94,304.28,113.87,1698.92,494.68,1636.19,685.31,871.82,1267.93,836.75,394.6,560.35
U000314,28,男,长沙,市场营销,大专,丧偶,13159.44,4610.72,1483.82,19253.98,13581.47,0.29,215986.19,1959311.3,70980.62,488954.85,2735232.9600000004,2440474.49,74024.25,129981.62,90752.6,294758.47,0.11,22847.73,3,125448.78,7676.48,1176480.31,激进,64,4222304.83,0.014,0.077,12657,优,19,0.41,1,12,0.57,32.89,255.23,267.99,54.87,1342.18,52.07,569.95,290.81,283.81,620.86,37.89,491.37,806.62,960.99,102.0,1242.28,582.4,1165.21,362.32,426.05,1371.39,1255.68,324.33,175.0,272.51,267.67
U000315,36,女,成都,市场营销,硕士,丧偶,12196.06,15259.93,9372.24,36828.229999999996,38854.78,-0.06,497955.53,941411.23,414078.78,787598.22,2641043.76,2218853.67,91904.84,324816.22,5469.03,422190.08999999997,0.16,145157.26,9,65111.4,13168.52,1458452.27,稳健,56,4133285.13,0.038,0.117,13342,良,29,0.64,34,14,0.6,76.75,124.72,1949.42,326.74,727.36,109.39,541.9,2519.15,3724.84,431.25,1072.49,1094.38,3561.5,2477.85,1239.31,1913.14,3236.94,16.51,888.01,4094.77,2321.88,1347.93,1298.93,735.96,1265.84,1834.6
